"sesso","socio_eco","atteggiamento_generale","orientamento_politico","favorevoli_aborto","atteggiamento_prima","atteggiamento_dopo","maschilismo","emotività_prima","emotività_dopo"
"Maschio","Medio",23.8363228522259,5.24229580951729,0,0,0,2.67463039054752,9.96436151366764,7.33025928495054
"Femmina","Medio",41.0060185987037,3.36376789195481,1,1,1,1.70191521335732,2.94269960694123,2.28877986931333
"Maschio","Alto",35.7835232451414,4.82095080418198,0,0,1,1.12635483241584,7.966691507013,6.17277275003625
"Maschio","Medio",33.0369625678977,4.53061252062706,1,1,1,2.29655736151516,15.3032911395752,13.7700872105959
"Maschio","Alto",48.98213203793,2.73182089503347,1,1,1,2.33172528776353,3.16795648465675,2.37028454663309
"Maschio","Basso",35.3779768011197,3.97281919219926,1,1,1,5.10127871146989,2.01172924698907,0.683128014597482
"Maschio","Basso",24.7181751550829,7.2275999777991,0,0,1,0.758390308130283,1.58992518884128,0.446553697982566
"Maschio","Medio",29.422708991772,6.22192303987867,0,0,1,1.0641905225185,4.15098758255377,2.89909286935498
"Maschio","Basso",29.2403582404978,5.42867291493111,0,0,0,3.92672270670364,6.23735660311344,5.07316723092592
"Maschio","Medio",22.0996025313514,5.16836984456112,0,0,0,4.68188124742658,4.51627679188359,3.18205152074078
"Maschio","Basso",44.986510601407,4.11533230476031,1,1,1,3.0995950756797,4.33250229833466,2.74686424072993
"Maschio","Medio",20.9864260586043,6.62905400225527,0,0,0,1.6303720748578,6.9797698436249,5.96946600417991
"Maschio","Alto",26.0526656781585,4.26521809033073,0,0,0,1.94824211853642,3.15307913510127,1.49258210000639
"Maschio","Alto",36.8344105168179,4.07875245571156,0,0,1,1.81384044942658,4.56691874678396,3.52285432424192
"Femmina","Basso",31.0739029791761,4.7649176445899,0,0,1,10.9254128826026,10.161325833846,8.00089311984838
"Maschio","Medio",57.2506263323836,3.20300255999059,1,1,1,4.05749270127137,2.99279120955372,1.56514048592151
"Maschio","Medio",31.7780758700515,4.44612305962089,0,0,1,4.05303493094815,2.95435664865005,1.93985890576367
"Femmina","Basso",28.1369573775792,4.96296261657274,0,0,1,5.76063078748444,8.42515419646278,7.05718959610489
"Maschio","Medio",27.5266818096534,3.02544012498275,0,0,0,3.72350562921992,4.19441821177633,2.32526298560173
"Femmina","Basso",16.205735506896,6.62626278679202,0,0,0,2.9626563157829,6.31723160142935,4.65104429379015
"Maschio","Basso",45.4592392409365,3.18134717248255,1,1,1,1.34599589948087,1.70191232587683,0.373955396600234
"Maschio","Medio",48.5507671795067,3.07222394050174,1,1,1,1.41619022075024,4.9584937377884,2.60569736414147
"Femmina","Medio",28.9292026782757,5.78207516377329,1,1,1,1.65165400686047,4.80301852637388,3.14966900822219
"Femmina","Medio",47.6018138886305,4.44385967435053,1,1,1,3.5702048446123,12.1834263250771,10.8003294219653
"Maschio","Alto",35.7777436204731,5.13985223433042,1,1,1,3.19729080659154,1.16304678647994,0.01
"Femmina","Alto",38.0183154812291,3.97123593173196,1,1,1,4.36903434106427,6.67990653802745,4.58586708429687
"Maschio","Alto",49.5978513368087,4.27866937406086,1,1,1,2.0824796381129,6.5465800041571,4.77247455355332
"Maschio","Basso",30.5536546056018,7.09136095842613,0,0,0,2.19782521283491,8.486165672672,7.74728076378269
"Maschio","Alto",44.5695068076711,4.77663413191098,0,0,1,2.7805714990699,2.80161043270242,0.787271803556334
"Femmina","Basso",46.1079607547622,3.03835761594098,1,1,1,2.52977275732998,3.56375189335791,1.66915504160762
"Maschio","Basso",54.4885976540323,3.90096559374969,1,1,1,1.0760918545303,7.95477849596691,6.28430969885023
"Femmina","Medio",45.4680289492302,5.35460997455125,0,0,1,7.32908480477014,8.84925888614255,8.09644222775023
"Femmina","Medio",40.9341140627041,3.6172289010693,1,1,1,7.67641458330052,7.62669885037698,6.23947064702343
"Femmina","Medio",22.0356209664377,6.18183426855428,0,0,0,3.7778047169681,2.28013946628086,0.934007978476602
"Maschio","Basso",42.1537329090804,3.04413719078177,0,0,0,2.77709264049592,2.30982560367654,0.720992062645152
"Femmina","Alto",31.3752979292418,4.37422425158502,1,1,1,4.14426380157246,6.79464745247108,6.40747916370566
"Femmina","Medio",31.0665664293004,4.2494940076357,1,1,1,6.9000198168835,7.28764544426359,5.30027496807393
"Femmina","Medio",42.1741016818748,5.12919369588233,1,1,1,7.16459758365205,5.19488200012509,4.47883894702712
"Maschio","Medio",46.9734868567304,4.33955350393057,1,1,1,0.727448425717602,0.778187135288286,0.01
"Maschio","Basso",19.3051659752506,7.53309538286754,0,0,1,2.13666129687307,4.34593973037364,3.38877096479077
"Maschio","Basso",41.1929989806869,5.41523529308817,1,1,1,1.84619569519306,1.81316751198109,0.556763867637555
"Maschio","Alto",33.5388281022873,2.83835416837775,0,0,1,2.91271772904658,7.90766288376862,6.84904927424459
"Femmina","Medio",33.5202350902287,4.54225105932077,0,0,1,2.74775668802226,0.893514132503035,0.01
"Maschio","Medio",31.6863308965331,6.83188962058526,0,0,0,2.01024267003884,3.41567318295982,1.99749270862304
"Maschio","Basso",38.0663118762996,6.09066696980834,1,1,1,2.54143838517779,3.79512793032516,2.33928072071841
"Maschio","Basso",43.9020399885996,3.9283845053058,1,1,1,2.02473233475065,7.46123446792382,5.64327573824967
"Femmina","Medio",42.9039650810906,5.00569350221631,0,0,1,0.895221826142602,2.02999152531493,0.0319227204555939
"Maschio","Medio",38.8717402440547,4.38583550651357,0,0,1,3.35061255720239,6.94317675486128,4.89981185505986
"Femmina","Medio",26.2468134973871,4.18435302581659,0,0,0,5.89155950967966,1.74631441667812,0.00787060923021832
"Maschio","Medio",38.1489075432887,5.23664263429155,1,1,1,2.1222993434177,5.90563337512462,4.52904108831597
"Maschio","Medio",33.7237921384482,3.90171375473626,1,1,0,1.4146270099156,4.84198505450639,3.78166049061945
"Femmina","Medio",8.63745795639546,7.85709141072627,0,0,0,9.64404448221367,11.9421398293524,11.0295224000604
"Femmina","Medio",33.1375937988928,7.53476345310954,0,0,1,6.78639054254687,3.40395082036189,1.24718550373614
"Femmina","Medio",48.9468646315649,3.22636701780036,1,1,1,5.6855145355678,4.37480511660902,2.82398763857234
"Maschio","Basso",24.4427168000456,5.48775545491366,0,0,0,1.32627691816203,3.53254169978985,1.0736637115978
"Maschio","Medio",42.8509878103644,2.35086774319687,0,0,1,6.30559438690279,15.3335495242789,13.4475218953986
"Femmina","Medio",43.581808484519,4.86195145009633,1,1,1,4.74994158003443,8.40468061127403,6.6005909253758
"Maschio","Medio",40.6298524559382,4.27566520265376,1,1,1,2.45694761366123,6.44526973979808,5.02017405971001
"Femmina","Alto",28.8496000019209,4.10015583909728,0,0,1,1.732154157015,1.29498893441235,0.01
"Maschio","Basso",24.7830767628147,5.60047342409173,0,0,0,1.16442182076907,8.57137418686854,6.56794325989923
"Maschio","Alto",52.3049582789465,5.18801665728244,1,1,1,2.17790222781021,2.61455125559421,2.16678069422167
"Femmina","Alto",40.1852363282227,5.1083496943634,1,1,1,4.06456484349146,5.3011984351832,3.82887989983186
"Maschio","Medio",36.8087957628365,4.01837244630652,0,0,1,4.10826972227826,7.76166594701952,6.33303726109586
"Maschio","Medio",37.4612773212409,5.77021874850727,0,0,1,4.02347655121389,8.22152291077942,6.49743171312036
"Femmina","Basso",15.4308573575763,6.27524262583705,0,0,0,6.79504114814719,9.99417125944876,7.52525198862012
"Femmina","Basso",48.8323185579254,3.70329197005374,1,1,1,1.95568484498643,3.3469140139664,0.881672620183777
"Maschio","Medio",49.5285530058535,2.87980570298083,1,1,1,4.769144277932,11.0891835000724,9.27039530808781
"Maschio","Basso",37.7755574010437,2.78812612150325,1,1,0,1.91446779417953,4.7010453786535,3.01177424002537
"Femmina","Basso",21.2971912955767,7.30209081860544,0,0,0,4.70972343145228,6.25039673427476,3.42831096247983
"Maschio","Basso",31.4105321477847,5.77233970966283,0,0,1,4.01744687470877,4.57416269282522,2.71158404221259
"Femmina","Medio",27.3223144327932,4.95994224327018,0,0,0,5.71818039931896,14.4671754988932,13.6219065470565
"Femmina","Medio",38.6254468637763,2.70920854338855,1,1,1,6.62886912784124,6.94944687059668,5.88387848050893
"Femmina","Medio",31.9073919979437,5.36752500373182,1,1,0,8.78923605879141,3.74044104586722,2.24722547424515
"Maschio","Medio",22.5800973719097,7.66899471056592,0,0,0,6.49001978850354,4.97683399831654,2.97709795344665
"Maschio","Medio",34.9294481453777,4.71501004656667,0,0,1,2.77046156967531,3.4536447871471,2.24808987169426
"Femmina","Medio",48.4587529460312,2.71540929531143,1,1,1,5.00923721352222,3.7114414631075,1.93959523161951
"Maschio","Medio",38.4864436881942,4.84594797632708,1,1,1,3.02062170242324,8.12151562408511,7.29034931227161
"Maschio","Basso",45.9744612921902,4.86831523519629,1,1,1,2.08611641663483,3.0607556593677,1.4142280058494
"Femmina","Medio",45.8312223353331,4.03844656333605,1,1,1,3.41080394041883,3.80218036512406,2.43729628319379
"Femmina","Medio",45.0680839574599,3.15946350434729,1,1,1,9.85479896467484,9.71707311220699,7.56204698780351
"Maschio","Alto",9.60858624090408,5.75594275705836,0,0,0,3.59479591543671,4.0953604072539,1.74876602760434
"Femmina","Alto",7.98072522833463,6.26891139668531,0,0,0,4.98305759926356,9.73922787105746,8.1640707748197
"Femmina","Medio",40.7223350642377,4.19365171757172,1,1,1,5.17444025484036,8.59350188498729,6.93622472270376
"Femmina","Medio",31.0308671244817,5.93464503244261,0,0,0,4.12616142271452,3.4012119752383,1.92720919110614
"Maschio","Alto",46.9809317477965,5.70612076741634,1,1,1,1.75220410994843,4.31461329473031,2.33655878094521
"Femmina","Alto",35.2018654103684,4.00805356087921,0,0,1,5.78914109835752,7.95943971886411,6.36248612341199
"Maschio","Medio",39.5966150836039,4.06731452967304,1,1,1,0.374405063620516,6.55678253905387,5.33079804383862
"Maschio","Medio",31.6480868191301,6.25979892254599,0,0,1,4.29132194080715,5.61288867569151,3.95990681285291
"Maschio","Basso",51.5358146536808,3.21670977894513,1,1,1,2.72393547547743,3.87463306926669,2.73601805352271
"Maschio","Medio",17.703181230287,5.48834986767832,0,0,0,1.06720072591219,2.79415141461788,1.76936067083468
"Femmina","Medio",28.837097678332,6.1314063920995,0,0,0,8.04200758820596,13.0253256410415,11.4187937732914
"Maschio","Alto",62.153804639008,5.16523351982684,1,1,1,1.49558096250288,3.43403446325722,1.62928588229801
"Maschio","Medio",30.7806625822743,7.74239517210412,0,0,1,3.86383880409242,5.466602212157,3.74540822868657
"Maschio","Medio",49.7033773642059,3.47693265569099,1,1,1,2.69451730819333,5.31099326634455,3.98946307416818
"Femmina","Alto",39.2000539235035,4.49406205725886,1,1,1,3.22293647148296,2.46195483129486,0.0859964683607988
"Femmina","Basso",40.5559608165294,4.31007991000306,1,1,1,1.52939237528958,8.05436364675076,6.97877510146187
"Femmina","Medio",34.9175265774415,3.38360340778622,1,1,0,2.98086471915692,2.41442970852572,0.932854233336747
"Femmina","Basso",31.3646461558667,6.36289097290985,1,1,0,1.55664784938319,1.17291215577359,0.01
"Femmina","Alto",33.623444581381,5.9592679255705,1,1,0,4.16794134772449,1.08078237118691,0.01
"Femmina","Medio",30.5146863148667,5.85327330582966,0,0,1,2.54625524549135,7.29977674088377,5.83870796102946
"Femmina","Medio",36.5535325333863,4.78528594008844,1,1,1,4.63792227144195,2.91799109988742,1.41979591168933
"Femmina","Basso",18.9661930058717,4.61469026717178,0,0,0,4.60141858249958,4.70663370800571,2.96171819928714
"Femmina","Basso",33.7449716934208,5.79816923587897,1,1,0,2.1654109016786,5.2462473329579,4.35367856811745
"Femmina","Basso",43.1775661334582,4.91071986505873,1,1,1,5.13256657396232,4.24126889556462,2.83981731838339
"Maschio","Alto",17.6154082167493,5.70367658305993,0,0,1,3.16861337035646,1.11791446937317,0.01
"Maschio","Medio",47.5375277418118,5.31799158461547,1,1,1,1.7057064185219,3.7582528657371,2.63805355752123
"Maschio","Medio",31.7420958425474,6.09884476840566,1,1,1,2.90537937763613,1.99751735817227,0.0113325754471134
"Maschio","Basso",53.4382406554152,3.51644828152439,0,0,1,2.89890550734112,2.29750772625591,1.31342791772562
"Maschio","Medio",38.5993529213441,3.54477282214893,1,1,1,1.27880250427239,2.47296388546709,0.588670572166608
"Femmina","Medio",43.1642216858816,4.82341390122157,1,1,1,5.13911463733271,5.39976636559587,3.74912383561586
"Maschio","Medio",41.7102122063151,2.29700204522511,1,1,1,2.01775322852552,2.71131628955731,0.999035999232945
"Maschio","Alto",19.5399758409411,6.71886273887162,0,0,0,2.97181756370672,2.6461929780268,1.14290744968848
"Maschio","Medio",39.49913140997,5.14006297277751,1,1,1,1.94559985404498,4.5577963166514,2.68714744239544
"Maschio","Medio",33.995319219807,4.53688508940624,1,1,1,4.73906543139811,1.00670565357816,0.01
"Femmina","Basso",40.0181591349743,4.99321590587125,0,0,1,1.84657035273701,6.93468171909884,5.64326609486505
"Femmina","Medio",41.0606366814802,3.21331578214793,1,1,1,2.87553158381331,10.3813838866001,9.09154536810066
"Maschio","Alto",36.1370187005657,3.6467312090397,1,1,1,2.24978358173779,6.87382490640204,5.02523197417067
"Maschio","Basso",33.2551083778071,5.53918256308358,0,0,1,4.02109204616043,8.73700737741572,7.34248818187366
"Maschio","Medio",10.790650323467,6.78218110937419,0,0,0,2.36691776213781,6.89103050113583,4.6204877523535
"Maschio","Basso",35.6938428348053,5.29036875726033,0,0,1,1.48116025496212,4.97973901450464,3.33732303467313
"Maschio","Alto",47.9023139565884,2.17344965785888,1,1,1,2.48859304666354,2.51840691548854,0.857426227447851
"Femmina","Basso",49.0038385394004,1.68941438119732,1,1,1,2.11909561079807,4.36032119997974,3.39458423435137
"Maschio","Medio",50.8181234316569,3.08792656797497,1,1,1,0.807812860373478,2.38983777595758,0.176979845027926
"Maschio","Medio",40.209462009086,3.62891784805564,1,1,1,5.24630540749983,8.37483798078907,6.27505288067212
"Maschio","Alto",38.4987345613507,5.76363349604193,1,1,1,1.17916169702287,6.72323313085383,6.06225133428889
"Femmina","Medio",23.9339928492004,6.4368102020407,0,0,0,5.79458353185304,5.63260882495656,3.21820574324535
"Maschio","Medio",30.0109058816732,5.40062738064794,0,0,0,3.82272653049307,3.03085404443514,1.79845847247761
"Femmina","Alto",27.343156622173,5.04732533127976,0,0,1,5.71981143678801,10.8586613244661,9.77649164496588
"Maschio","Medio",44.7835372479122,5.93760595300031,1,1,1,2.17478341914609,7.18952742481839,6.06876237502288
"Maschio","Medio",38.434635556795,5.09091009532717,1,1,1,0.880775218168348,4.04621861896955,3.20828356981783
"Femmina","Basso",41.2996116796104,6.29523379224918,0,0,1,4.61771682778124,7.13904748363325,5.24481374808623
"Femmina","Medio",11.3271644493247,8.35803604062083,0,0,0,5.1581582162782,20.7124208413713,19.9007800738657
"Maschio","Medio",27.3383733523837,6.51229042903883,0,0,0,3.99336121273263,13.399228724805,12.4344263455938
"Maschio","Medio",31.8763189217313,4.75543190738276,0,0,1,2.0663154877177,2.77664196081117,1.77001242651822
"Maschio","Medio",44.3504217446187,6.36620743356258,1,1,1,4.51587823605559,9.98837476269171,8.22008167059779
"Femmina","Medio",14.9784748188831,7.61105452254777,0,0,1,7.54183066344904,10.5120354785851,9.23463877054483
"Maschio","Medio",37.9942615189229,4.01738221497648,0,0,1,2.97357762529561,1.99321619150541,0.494966909996698
"Femmina","Alto",27.998163329642,5.26340423097722,0,0,0,5.66009791970386,5.00734983109619,3.81925687881056
"Femmina","Medio",47.8006800556204,5.91054930115388,1,1,1,5.573094395175,3.80422422051196,2.07380075791116
"Femmina","Basso",39.7801168989148,5.65828928233698,1,1,0,3.84633750201781,3.96925404487414,2.75801410479334
"Femmina","Alto",49.0053199212332,2.55633399220273,1,1,1,1.59135100191828,7.24237556123011,4.89857127838812
"Maschio","Basso",28.603135998261,3.56301631146675,0,0,1,2.80847975443617,2.64688061733954,1.13405035879498
"Femmina","Medio",45.3789051448455,5.30035525821159,1,1,1,4.90059180197447,1.72484129824384,0.519994879084302
"Femmina","Medio",41.4729967768165,3.76158360487272,1,1,1,2.24574348264902,7.01174418094274,4.8207332793331
"Femmina","Alto",42.9409367398924,3.78068658556342,1,1,1,4.4753215641879,3.93297802436259,2.41702735602542
"Femmina","Basso",33.5533706815013,3.28009508278754,1,1,1,2.32950692491621,2.66198338191144,1.66323672892265
"Maschio","Basso",53.8293577423623,4.99238376433302,1,1,1,1.07250798103374,8.11649617006054,7.09432870756616
"Femmina","Medio",28.2413901457484,5.53447029934409,1,1,1,0.69008608483015,5.13014765927608,3.38486482107437
"Maschio","Basso",31.2259132439776,3.72825544321672,1,1,0,3.58025223947071,2.32421628555296,1.41392497174344
"Femmina","Basso",18.3575781247957,7.84271727988161,0,0,1,7.96889964475094,9.12321845914702,6.84484124619259
"Maschio","Alto",18.7017198776476,6.555972146768,0,0,0,10.4542531543392,11.7960579830803,10.7481884856546
"Maschio","Medio",42.1277061218157,3.39453551196324,1,1,1,4.22175600517883,2.86288598716535,2.11423743862873
"Femmina","Medio",33.6732906587608,3.91774123425079,0,0,1,2.66261657068091,0.415317401095192,0.01
"Femmina","Medio",35.4199706193372,5.09058505851435,0,0,1,5.24291409541868,4.72244551785613,3.71953184300298
"Femmina","Medio",54.7842693164589,4.44916052207145,1,1,1,6.41707707413039,7.63034444608236,5.8515803682473
"Maschio","Alto",42.4619241180798,4.11898546200789,1,1,1,2.83865013667933,11.4313073116101,10.8976970812696
"Maschio","Medio",41.2645353738572,3.71659880014335,1,1,1,0.226406837192401,5.18474401040124,3.92878368094366
"Femmina","Basso",42.9383340794019,5.42865610199134,1,1,1,4.68708962999325,8.03157155098622,6.56692023058007
"Femmina","Basso",35.0906725248406,6.07679441719298,0,0,0,4.26392131061481,4.08707476221094,3.29686838871956
"Femmina","Medio",23.5075453233257,7.34573521536746,0,0,1,7.62836806172156,9.4923480870368,7.89757385862528
"Maschio","Medio",43.792274730209,4.49959496769793,0,0,1,5.52416359406927,3.69510855860737,3.50632546026652
"Maschio","Medio",38.1552699112838,3.84361428253542,1,1,1,2.32954183977039,5.10674204516015,4.44521401210076
"Femmina","Medio",41.2282630181794,4.87625286096589,1,1,1,3.56350781866273,4.95829069117442,2.68691254963611
"Maschio","Medio",39.9112722621466,4.10358773693213,1,1,1,2.24271734144435,3.32780522329022,0.987190065986671
"Femmina","Alto",34.1920959741276,2.51648458426411,1,1,1,5.44469191399561,4.1452812197564,2.12373038535551
