"genere","coping","stress_gestito","emotivita_neg","intro_pre","intro_post"
"femmina","avoidance",42.82,49.95,29.05,33.81
"maschio","sport",45.5,36.55,41.3,45.97
"maschio","internet",73.97,31.55,35.16,41.86
"femmina","internet",50.11,47.54,42.41,45.09
"femmina","internet",66.34,32.01,100.58,103.15
"femmina","avoidance",35.61,60.14,25.51,30.58
"femmina","substance",48.09,54.4,35.4,39.21
"femmina","sport",53.78,35.59,32.53,36.65
"maschio","internet",53,46.63,73.25,78.63
"femmina","substance",39.94,60.77,29.4,34.81
"femmina","internet",50.19,52.21,38.71,42.31
"femmina","sport",39.23,46.32,54.8,58.33
"femmina","internet",57.13,42.97,26.19,30.31
"femmina","sport",60.85,36.14,77.55,83.67
"maschio","internet",27.75,65.33,52.41,57.15
"femmina","internet",62.36,46.45,26.03,33.13
"femmina","internet",37.59,57.38,47.98,51.97
"femmina","sport",54.55,38.29,36.73,43
"maschio","sport",56.6,40.57,45.34,51.03
"femmina","internet",48,50.02,38.59,43.7
"femmina","avoidance",43.55,48.02,61.38,66.1
"femmina","sport",51.65,32.53,23.3,26.88
"maschio","avoidance",54.39,51.01,32.45,36.28
"femmina","internet",58.83,34.94,36.21,40.59
"maschio","internet",29.48,57.27,26.86,30.94
"maschio","sport",33.64,51.43,26.39,32.22
"maschio","sport",64.3,37.67,39.71,43.54
"maschio","internet",60.47,42.71,37.94,41.83
"femmina","internet",54.35,41.16,14.43,17.73
"femmina","internet",57.15,48.36,60.65,64.43
"maschio","internet",59.17,51.11,44.2,48.09
"maschio","avoidance",23.39,67.71,105.15,106.74
"maschio","avoidance",61.1,34.73,52.61,54.93
"femmina","sport",45.15,51.42,33.45,37.34
"maschio","internet",52.31,45.56,122.47,126.07
"femmina","internet",47.05,51.1,124.18,126.65
"maschio","substance",58.72,50.75,24.57,26.37
"femmina","internet",46.52,48.26,48.25,51.72
"femmina","sport",55.19,39.03,36.76,41.95
"maschio","internet",46.09,54.05,43.11,51.24
"maschio","sport",39.07,51.02,43.81,47.75
"maschio","internet",62.1,45.9,24.15,31.42
"femmina","internet",57.41,55.21,44.84,48.98
"femmina","sport",67.24,36.7,80.53,84.72
"maschio","internet",50.65,47.71,37.46,42.01
"maschio","avoidance",61.25,33.32,37.48,40.3
"maschio","internet",69.75,50.58,69.99,73.91
"femmina","avoidance",47.19,48.99,57.3,63.05
"femmina","internet",36.77,65.49,20.69,23.65
"maschio","avoidance",47.61,53.07,43.83,47.35
"femmina","sport",47.86,50.76,77.5,80.03
"maschio","internet",51.52,45.69,70.46,75.07
"femmina","sport",67.12,36,47.32,52.06
"maschio","internet",46.74,49.7,53.38,58.56
"maschio","internet",53.73,44.2,24.78,27.24
"femmina","sport",47.72,42.54,45.1,49.28
"femmina","internet",50.2,51.96,27.31,30.05
"maschio","avoidance",53.14,47.42,33.3,37.3
"femmina","internet",63.28,30.17,58.16,65
"femmina","sport",51.21,40.42,25.38,28.65
"femmina","substance",57.13,51.13,44.51,49.84
"femmina","internet",57.79,46.19,47.48,50.44
"femmina","internet",59.15,45.51,40.89,44.19
"femmina","sport",44.26,36.41,82.91,87.68
"femmina","internet",66.27,40.71,26.57,29.62
"maschio","avoidance",46.19,56.74,50.97,52.99
"femmina","substance",48.94,58.91,38.6,45.24
"maschio","internet",64.04,38.86,36.04,40.66
"femmina","sport",62.94,33.92,48.16,51.33
"femmina","sport",39.1,54.89,26.59,28.39
"maschio","internet",41.27,43.03,23.65,32.21
"maschio","substance",36.42,56.61,32.82,48.34
"femmina","internet",51.82,48.38,80.61,84.96
"maschio","internet",51.65,38.09,40.9,46.52
"maschio","sport",53.64,41.58,45.67,52.2
"maschio","avoidance",55.52,56.63,37.07,40.09
"femmina","internet",43.98,49.99,48.28,51.76
"femmina","internet",40.06,50.58,27.34,29.34
"femmina","internet",60.27,44.24,63.56,66.54
"maschio","internet",57.51,41.85,50.54,55.67
"maschio","internet",34.91,58.61,28.97,32.53
"maschio","internet",49.05,52,40.88,44.55
"maschio","sport",41.04,46.49,53.27,57.09
"femmina","sport",29.29,46.47,50,51.9
"femmina","substance",51.5,44.66,72.36,77.95
"femmina","internet",49.21,44.43,31.3,33.55
"femmina","sport",49.03,46.47,62.51,66.19
"femmina","internet",52.16,36.13,60.55,63.91
"femmina","avoidance",58.82,36.16,37.48,41.15
"maschio","internet",52.06,42.7,27.07,34.24
"femmina","sport",43.84,47.05,25.87,29.04
"maschio","internet",42.65,46.11,48.04,50.96
"femmina","sport",48.68,47.09,38.88,41.06
"maschio","avoidance",53.1,50.12,81.49,84.39
"femmina","internet",39.6,51.35,49.55,52.06
"maschio","avoidance",48.16,55.01,34.47,39.18
"femmina","internet",59.67,44.11,26.54,29.37
"maschio","internet",48.92,45.31,31.69,36.21
"femmina","internet",43.02,51.65,45.88,49.65
"maschio","internet",47.24,51.62,33.4,35.65
"maschio","sport",61.15,38.21,49.13,52.05
"maschio","sport",55.5,35.96,34.99,40.69
"femmina","substance",62.37,50.09,38.35,44.09
"femmina","internet",51.39,52.07,29.86,38.78
"maschio","substance",54.1,51.33,85.7,89.69
"femmina","internet",44.42,50.51,45.69,47.89
"femmina","substance",56.05,48.6,43.87,46.81
"maschio","sport",44.94,55.34,20.33,25.04
"femmina","internet",35.79,55.49,52.08,60.63
"femmina","avoidance",51.28,48.57,26.56,30.74
"femmina","internet",69.46,24.73,28,34.31
"maschio","sport",58.01,30.17,57.76,63.2
"maschio","internet",61.65,40.79,33.37,35.88
"maschio","avoidance",53.59,49.24,19.88,23.62
"maschio","sport",43.91,46.43,81.19,87.93
"maschio","internet",47.98,52.12,15.45,21.13
"femmina","avoidance",47.27,50.39,50.3,55.12
"maschio","internet",45.31,55.42,60.09,64.93
"femmina","avoidance",57.04,41.87,31.08,34.37
"femmina","internet",38.03,46.94,47.78,50.14
"femmina","avoidance",58.66,39.53,47.68,54.4
"femmina","substance",58.64,51.39,60.65,62.92
"maschio","internet",38.01,52.58,48.55,51.3
"femmina","avoidance",56.39,50.75,36.27,41.41
"femmina","avoidance",74.3,36.51,57.7,60.11
"femmina","internet",44.43,46.83,55.1,58.31
"maschio","internet",58.45,40.93,27.5,29.99
"maschio","internet",42.18,41.65,22.84,27.97
