"genere","esposizione_critica","fase_training","carico_lavorativo","consapevolezza","fiducia_pre","fiducia_post"
"maschio","no","post",6.6,50.3,1,1
"maschio","sì","post",2.9,59.1,1,1
"femmina","sì","post",4.6,52.5,1,1
"maschio","sì","pre",6,32.6,1,1
"femmina","sì","post",6.6,58.2,0,0
"femmina","no","pre",6.3,41,1,1
"maschio","no","pre",4.6,49.4,1,1
"femmina","sì","pre",9,32.3,0,0
"femmina","sì","pre",7.9,39.9,1,1
"maschio","sì","pre",6.9,46.2,1,1
"maschio","no","pre",8.3,31.9,0,0
"femmina","no","pre",4.5,34.4,0,0
"maschio","sì","post",6.5,51,1,0
"maschio","sì","post",4.7,53.3,1,1
"maschio","no","pre",7.5,35.7,0,0
"femmina","sì","pre",6.4,45.7,0,0
"femmina","sì","pre",7.4,33.5,0,0
"maschio","no","pre",8.5,34.9,0,0
"femmina","sì","pre",6.5,35.8,1,1
"femmina","no","pre",8,34,1,1
"maschio","no","post",3.7,57.1,1,1
"maschio","no","pre",5.4,45.8,0,0
"maschio","no","post",7.8,51.3,1,1
"femmina","no","pre",7.1,39.4,1,1
"femmina","no","post",2.4,61,1,1
"femmina","no","post",3.5,60.4,1,1
"femmina","no","post",5.2,50.9,1,0
"maschio","sì","post",6.8,60,1,1
"maschio","no","post",5.3,51.7,1,1
"femmina","sì","pre",7.4,34.6,1,1
"femmina","sì","post",6.9,58.7,0,0
"femmina","sì","pre",9,38.5,1,1
"maschio","no","pre",6.6,31.4,1,1
"femmina","sì","pre",6.4,32.8,0,0
"maschio","sì","pre",3.9,35.5,1,1
"femmina","sì","pre",6.6,37.6,1,1
"maschio","no","pre",5.6,39.5,0,0
"maschio","no","pre",5,41.7,0,0
"maschio","sì","pre",6.2,40.3,1,1
"femmina","no","pre",8,30.9,1,1
"femmina","no","post",2.5,52,0,1
"maschio","no","post",4.9,59.3,1,1
"maschio","no","pre",6.7,40.4,1,1
"maschio","no","pre",5.2,32.1,0,0
"femmina","no","pre",7,35.5,1,1
"maschio","no","post",6.1,48.2,1,1
"femmina","sì","post",5.5,43.1,0,1
"femmina","sì","pre",2.8,45.1,0,0
"femmina","sì","post",9.4,48.4,0,1
"femmina","sì","pre",6.2,37.1,1,1
"femmina","sì","post",6.5,53.3,1,1
"femmina","sì","pre",6.9,40.6,0,0
"femmina","sì","post",7,52.6,0,0
"maschio","no","pre",7.7,31.5,0,0
"femmina","sì","pre",6.2,34,1,1
"femmina","sì","pre",7.1,35.2,0,0
"femmina","sì","post",4.1,56.7,1,1
"maschio","sì","post",6.8,46.7,0,1
"femmina","no","pre",5.8,37.5,1,1
"femmina","no","post",9.1,53.9,1,0
"femmina","no","post",3,55.8,0,1
"maschio","no","post",4.8,50.7,1,1
"femmina","sì","post",6.7,50.5,0,1
"femmina","no","post",6.3,58.1,1,1
