"id","pre_cutoff","post_cutoff","pre_tempo","post_tempo","pre_punteggio","post_punteggio"
37,"Sopra","Sopra",179.114863789555,160.958702681348,101.894737876883,110.415574296532
38,"Sotto","Sotto",470.244374102375,448.668975722213,119.084001692028,118.097184180201
39,"Sotto","Sopra",221.464876950738,218.350090955326,89.2230066802111,98.554837340775
40,"Sotto","Sopra",340.313677063182,360.249052251951,93.2449206411293,102.565683072259
41,"Sotto","Sotto",161.780280047462,111.353965109841,135.961787200746,134.968675405403
42,"Sotto","Sopra",113.00434777484,129.363760776009,100.166937808313,108.364397797816
43,"Sotto","Sotto",459.952998894593,507.053250287091,124.503526321125,141.654659582847
44,"Sotto","Sotto",73.5328409599422,144.660061507155,78.4224003262822,80.6363229165741
45,"Sotto","Sotto",391.403389630446,440.438669396463,97.1422479693565,106.366769176397
46,"Sotto","Sotto",329.971609680461,362.67485259434,105.676358554552,106.765349326455
47,"Sotto","Sotto",297.888167738615,256.086255765185,104.500578178087,115.054135269101
48,"Sotto","Sotto",187.171652795418,179.126451555214,84.9154561073374,91.1645797069703
49,"Sotto","Sotto",107.651915879972,107.090522182493,100.288889119381,113.548466077496
50,"Sopra","Sopra",785.908112839523,817.01382992223,83.8386902033203,81.5438365606357
51,"Sotto","Sotto",109.417083003248,116.246942983134,110.690549878664,115.434060448037
52,"Sotto","Sotto",691.547119716117,663.787660874312,116.27162634791,118.637000467282
53,"Sopra","Sopra",80.7663493805145,141.299420623338,66.6251845526888,70.6388602073073
54,"Sotto","Sotto",312.340211842083,349.681950595962,118.535401934502,120.387508221072
55,"Sopra","Sotto",148.671615614432,165.794523789163,81.3843325478726,82.2151146451976
56,"Sotto","Sotto",93.8430885072051,140.386346816979,106.821539034739,114.715150907822
57,"Sotto","Sotto",165.349699353423,135.186470736374,109.898539572139,109.460636001754
58,"Sopra","Sopra",273.229987176659,303.054596110353,97.0016525784785,109.42180723626
59,"Sopra","Sopra",475.102491728963,469.41512043956,90.3232906471031,89.3922577205344
60,"Sotto","Sotto",240.836499930953,271.348865586475,102.479815318631,107.985211075607
61,"Sopra","Sopra",384.85091758439,393.026258944588,106.582280510717,114.247226944849
62,"Sotto","Sotto",142.622668836675,171.611490227618,113.249542299231,121.183218994694
63,"Sotto","Sotto",374.09136220119,424.156890652971,69.2149452414707,72.7062119221388
64,"Sotto","Sotto",380.571969149911,390.790671859418,75.4543109791146,80.8518209557566
65,"Sopra","Sopra",545.859634229683,586.386393338245,121.456035117823,131.262355876871
66,"Sotto","Sotto",131.5865656953,105.933544640861,115.699432706673,113.417103121291
67,"Sopra","Sopra",741.493826414822,729.845693201742,106.529334233615,107.620635675955
68,"Sopra","Sotto",348.889173555291,404.465704896937,110.727676106666,117.329687678249
69,"Sopra","Sopra",53.8397733354547,75.1614125261726,113.757623764615,116.53371387293
70,"Sotto","Sotto",51.6806280563282,0.113943443316323,60.0861580230148,71.9361779928698
71,"Sopra","Sopra",810.251015332143,779.329891769672,116.654156449582,125.020425766356
72,"Sopra","Sopra",530.696702581872,534.673272114198,92.7251860515651,98.0860198136389
73,"Sopra","Sopra",178.926064036341,214.899446166375,103.459252459468,100.920465871785
74,"Sotto","Sotto",42.2191213758953,49.1626237044386,95.5726329867463,100.703134113378
75,"Sotto","Sopra",146.013275169172,174.738899329791,113.079474311181,116.497394970196
76,"Sotto","Sotto",224.056476244814,262.826637578448,94.7729132656658,99.2611806980628
77,"Sotto","Sotto",630.497148028455,690.628792894343,107.777556488324,106.869760353045
78,"Sopra","Sopra",215.183863569865,226.864365568114,94.1397253204153,101.633015539565
79,"Sotto","Sopra",298.068191916522,306.508734731095,83.6081918634774,83.4134096619423
80,"Sotto","Sotto",148.086395207296,105.489274433028,118.150157656604,122.019047749392
81,"Sotto","Sotto",140.180090871305,153.15991869394,111.113500169114,118.020629316371
82,"Sopra","Sopra",470.292480404879,463.136978668012,125.863933587347,126.946354642282
83,"Sotto","Sotto",255.39622339631,236.175935912188,100.97730898869,108.89226601709
84,"Sopra","Sopra",997.553862203341,1002.15667527192,116.875041187423,115.292489179164
85,"Sotto","Sotto",280.668390555308,321.116685737618,129.631285810286,120.582412415483
86,"Sotto","Sotto",219.067119919569,169.284665258911,95.7777682744155,103.102608228345
87,"Sopra","Sopra",131.908547047404,129.090168431242,80.1557333086718,89.3584324434768
88,"Sopra","Sopra",81.8596548195098,95.358773326991,96.4097264929283,99.9804993749713
89,"Sopra","Sotto",373.767829055624,356.971601953975,96.7893814002193,104.310012673177
90,"Sotto","Sotto",163.151137180668,183.168225455644,102.27520756764,101.495624942221
91,"Sotto","Sotto",159.696962190104,182.039859808576,125.684574659789,130.048831625661
92,"Sopra","Sopra",112.528681164934,121.537596386654,95.1078416124198,90.4002497322167
93,"Sotto","Sopra",364.14763440158,300.170688588779,105.595069837074,116.500974294266
94,"Sopra","Sopra",63.1691090199326,150.312853395932,96.584739026567,110.884293334283
95,"Sotto","Sotto",208.713142165154,212.554164441108,100.306760627875,110.676821929285
96,"Sotto","Sotto",126.825910940182,156.361709387812,104.710864952594,109.574130120525
97,"Sopra","Sopra",131.850148463864,150.06314319496,119.923220440555,124.756568729175
98,"Sotto","Sotto",426.545954953096,467.286151997647,101.819775662362,99.2394375466062
99,"Sotto","Sopra",370.353142955936,404.882926347158,110.692634800467,119.644561519908
100,"Sopra","Sopra",200.10191671106,203.808121574205,111.682900446753,115.629229543294
101,"Sopra","Sopra",104.327552373565,125.67258553982,113.721599062835,115.437884436029
102,"Sotto","Sotto",418.830036490269,400.467771556552,91.3840817172343,89.3239527539427
103,"Sotto","Sotto",323.903908472521,359.611598799501,124.40321821292,127.904405729689
104,"Sopra","Sopra",58.8883064086864,55.0571562421557,94.2856489105898,95.0403432355063
105,"Sotto","Sotto",193.308351964633,275.811552578279,98.4132374852537,101.428084883615
106,"Sopra","Sopra",35.8190793843248,-3.71238748632086,121.060754015713,119.972754076895
107,"Sopra","Sopra",44.5250635541377,40.6054462651573,119.411258592184,132.849206006912
108,"Sopra","Sopra",24.0086565719404,58.7700524547177,83.6501219138314,88.5701092777916
109,"Sotto","Sotto",161.28775328162,186.59172968798,86.903934993738,97.2786603801
110,"Sotto","Sopra",757.111154903923,749.426723748473,79.6288141094408,71.6203157581525
111,"Sopra","Sopra",614.485948828928,594.582526562703,102.727707889297,105.461718739323
112,"Sotto","Sotto",209.023691684359,223.357962825679,102.472613018777,104.095201560817
113,"Sotto","Sotto",179.016149810121,188.586927415114,105.461720310326,104.347089413496
114,"Sopra","Sopra",204.607294088406,160.898856970484,108.282365713278,121.015411484399
115,"Sopra","Sopra",419.906720568854,430.94325258287,90.9716073102248,88.8951977113773
116,"Sotto","Sotto",165.924951222664,181.631860693438,85.0945211335193,91.6864724355594
117,"Sopra","Sopra",233.746205223049,248.987997132504,115.401775841124,124.633957269022
118,"Sopra","Sopra",527.25612189213,505.60561061405,111.265919539095,117.156870481185
119,"Sopra","Sopra",843.448426192813,867.732424541892,77.3625019400695,77.9862245525919
120,"Sotto","Sotto",599.12156228767,650.478666396447,98.5727882372607,108.278617270882
