"corso","autostima","rendimento","intenzione_prima","intenzione_dopo"
"medicina",7.05,0.3,"no","si"
"economia",17.17,2.96,"no","si"
"economia",17.95,2.99,"no","no"
"economia",17.87,0.49,"no","no"
"psicologia",7.72,-0.08,"no","no"
"psicologia",15.38,1.12,"si","si"
"psicologia",19.89,0.68,"si","si"
"psicologia",15.28,0.77,"no","si"
"giurisprudenza",9.32,1.32,"si","si"
"psicologia",10.82,-0.05,"no","no"
"giurisprudenza",16.73,0.98,"no","si"
"economia",13.76,1.14,"no","no"
"economia",6.21,0.84,"no","si"
"psicologia",17.42,4.39,"no","no"
"economia",12.85,0.26,"no","si"
"psicologia",10.13,0.29,"no","no"
"giurisprudenza",22.52,24.33,"si","si"
"psicologia",9.13,1.01,"no","si"
"medicina",20.23,0.84,"si","si"
"medicina",9.7,0.64,"no","no"
"giurisprudenza",13.23,0.04,"no","si"
"psicologia",12.63,-0.12,"no","no"
"psicologia",7.16,-0.42,"no","no"
"economia",13.83,0.43,"si","si"
"psicologia",12.86,0.84,"no","no"
"economia",20.35,-0.84,"si","si"
"giurisprudenza",6.75,1.32,"no","no"
"psicologia",11.25,1.05,"no","si"
"economia",20.78,1.92,"no","no"
"economia",14.31,1.51,"no","no"
"giurisprudenza",16.14,2.13,"no","no"
"medicina",18.46,5.44,"si","no"
"giurisprudenza",16.34,2.33,"no","si"
"economia",20.27,0.91,"no","no"
"medicina",15.39,1.18,"si","si"
"economia",14.93,4.08,"no","no"
"economia",3.78,1.11,"no","no"
"psicologia",12.54,1.91,"si","si"
"psicologia",15.15,0.13,"no","si"
"psicologia",15.68,1.69,"si","si"
"economia",14.22,2.26,"no","si"
"giurisprudenza",23.9,0.76,"no","no"
"psicologia",14.43,0.09,"si","si"
"psicologia",13.63,2.35,"no","no"
"psicologia",19.36,0.78,"si","si"
"giurisprudenza",11.41,-0.12,"no","no"
"giurisprudenza",12.75,1.14,"no","no"
"medicina",27.99,7.1,"no","no"
"economia",17.06,2.18,"no","no"
"psicologia",21.17,1.09,"si","si"
"economia",9.81,1.96,"si","si"
"giurisprudenza",14.05,4.56,"no","no"
"psicologia",14.89,2.53,"no","si"
"psicologia",14.5,-0.34,"no","si"
"psicologia",7.97,1.79,"si","si"
"psicologia",13.1,1.25,"si","si"
"psicologia",7.61,0.25,"no","si"
"psicologia",16.56,2.3,"no","no"
"psicologia",18.42,1.48,"si","si"
"psicologia",1.88,0.28,"si","si"
"economia",23.18,7.08,"no","si"
"psicologia",6.79,0.39,"no","si"
"psicologia",15.27,3.06,"no","si"
"psicologia",16.3,12.22,"si","si"
"giurisprudenza",14,1.62,"no","no"
"giurisprudenza",11.77,1.12,"si","no"
"giurisprudenza",15.83,-0.39,"no","no"
"medicina",18.19,19.47,"no","no"
"psicologia",17.42,0.53,"no","no"
"psicologia",2.74,4.08,"si","si"
"giurisprudenza",6.82,0.68,"no","si"
