"sesso","indirizzo_scelto","frequentante","superato_psicometria","opinione_prima","opinione_dopo","interesse_t0","interesse_t1","rendimento","qi"
"female","lavoro","no","no","positiva","positiva",58.993540532031,60.4885224707646,55.3472630911221,101.14816484602
"female","clinica","sì","no","positiva","positiva",41.6918847266375,47.8971143891436,56.1493160855675,102.002772130227
"female","clinica","sì","no","positiva","positiva",46.6945529988004,49.9322870026606,55.4239578732624,101.152990804731
"male","sperimentale","sì","no","positiva","positiva",57.408145237259,64.2638850360573,56.178557087073,100.977571879495
"male","clinica","no","sì","negativa","negativa",59.8997160862711,66.1173796800726,55.777800668115,101.580773040549
"female","lavoro","no","sì","negativa","positiva",30.6149529854662,30.5443821221588,55.0328674958156,100.256161488565
"female","clinica","no","sì","negativa","positiva",51.0719040701615,52.1153346760642,57.3544862796175,102.855660874764
"female","clinica","sì","no","negativa","positiva",56.0877901173463,62.5857585410441,56.7098190226564,102.166159773754
"female","clinica","sì","sì","positiva","positiva",35.4917568650937,48.6870164088515,55.3719398835486,100.986422333089
"female","clinica","no","no","positiva","positiva",54.8062559987522,65.2293410421068,57.7935496732131,103.227585112106
"female","sperimentale","no","sì","negativa","positiva",41.718257296032,43.5954199279416,57.3655242220096,102.042807139316
"female","sperimentale","sì","sì","positiva","positiva",60.2025301216443,69.3321446298818,56.1247139384822,101.877085398064
"female","clinica","sì","no","negativa","positiva",55.3848203210264,60.141978557245,57.3631419571969,102.958778737892
"male","lavoro","sì","sì","positiva","positiva",57.6905229499561,64.1970912085481,57.4922997091683,102.796497141782
"female","clinica","sì","no","positiva","positiva",51.2071932928703,57.5090007465531,57.351359817139,102.827196099818
"male","clinica","sì","sì","negativa","positiva",58.6364843415775,76.5137331601945,57.2182310900567,102.701175445693
"female","lavoro","sì","no","negativa","positiva",63.8051452831454,62.8787012302093,57.0674702385889,102.589313600904
"male","clinica","sì","sì","negativa","positiva",69.6624801545563,75.1670794496206,56.149751121068,102.306560285722
"male","clinica","sì","sì","negativa","positiva",49.7160494525094,45.8161630126713,56.3277651866082,101.652803330154
"male","clinica","no","no","positiva","positiva",27.509489096676,35.4586687114697,56.1685817264891,101.6667433022
"male","clinica","sì","sì","positiva","positiva",50.3152600459399,60.7983024045469,55.6386243671514,101.584141971056
"female","clinica","sì","no","negativa","negativa",52.0556120844997,64.2839232900055,56.1386248110502,102.033069347927
"female","clinica","sì","sì","negativa","positiva",48.446546528556,43.8208202693704,55.0875551318612,101.022732816353
"male","clinica","no","no","negativa","positiva",55.6828862077707,62.7467336937409,58.8201620931254,103.98491100319
"female","clinica","no","sì","positiva","positiva",60.1067796451427,73.0736294020609,57.3066065154072,103.625144468253
"female","clinica","no","sì","negativa","positiva",44.8201756983218,47.7500963831103,55.4674139420022,100.920243929419
"male","clinica","no","no","negativa","positiva",47.0590467284389,50.9982940680291,55.7668752225965,102.024757199438
"female","clinica","sì","sì","negativa","positiva",53.9784220880034,58.7957359769797,56.4242311964235,101.243089600138
"male","clinica","sì","sì","negativa","negativa",44.4977625851086,51.3228563422738,57.3325234368002,102.764908033005
"female","lavoro","no","no","negativa","negativa",50.9126738348824,59.2384732136122,56.2162520396578,102.198231280114
"female","clinica","no","no","negativa","negativa",30.382924011147,41.9720284297044,56.9838369099598,102.086971330863
"male","clinica","sì","no","negativa","negativa",38.8010027860238,43.3235648337988,56.7174819834206,101.803869694756
"female","lavoro","no","sì","negativa","negativa",36.7224452439587,42.7038354713211,56.7450782299046,101.748351412853
"female","clinica","no","sì","negativa","positiva",41.4637630327276,58.9037524188349,58.14629717309,103.09859937623
"female","clinica","no","sì","negativa","positiva",43.0669547206933,50.2224493612683,56.454697055591,101.682193820055
"male","clinica","sì","sì","positiva","positiva",53.8230514254637,59.7668169721129,57.9810183456807,103.552126625479
"male","clinica","sì","sì","negativa","negativa",59.8211300252264,58.1099143988092,55.5178532009519,100.040071333188
"female","lavoro","sì","sì","negativa","positiva",42.7261647091246,47.7404449472358,57.0994102818883,102.617211264777
"male","lavoro","sì","sì","positiva","positiva",40.03161017622,43.9249794103856,56.4211887862573,102.397247131335
"female","clinica","sì","no","positiva","positiva",39.5831114101049,44.527882261058,56.3318579536023,102.666089207502
"male","clinica","sì","no","negativa","negativa",45.8541127363633,47.9770245300074,56.6560745483332,102.660978593288
"male","clinica","sì","sì","positiva","positiva",47.6097093184744,49.1756310562609,55.9181752281418,101.679615642347
"female","clinica","no","sì","negativa","positiva",54.8361753383827,56.2323071792821,56.638337819739,101.289120960597
"female","clinica","sì","no","positiva","positiva",46.7867515783161,50.7142290013172,55.7187160593148,100.872714532814
"male","lavoro","sì","sì","positiva","positiva",29.2151073113998,41.0557705515429,55.6110666632081,100.876627152682
"male","clinica","no","sì","negativa","negativa",49.0856572444986,59.3310903772953,56.7155299464119,102.453155851589
"male","lavoro","no","no","negativa","positiva",61.8718681065156,65.0719925168003,57.0374892310692,102.413232024953
"female","lavoro","sì","sì","negativa","positiva",61.9160126851033,58.4864304124096,56.910104067843,101.770219740522
"female","lavoro","sì","sì","negativa","negativa",42.1103678188877,42.8874506762079,57.0992634082258,103.275566408736
"male","clinica","no","sì","negativa","positiva",34.5222345636243,37.2334318974218,58.3713816426646,104.201968670281
"female","lavoro","no","sì","positiva","positiva",74.5806049186527,80.0987949397943,56.0453105467302,101.574493043676
"female","clinica","sì","sì","negativa","negativa",48.3757805752058,50.0627441967017,54.0539227693982,100.021677951836
"male","lavoro","sì","sì","positiva","positiva",49.0254874989438,64.0588909531033,57.8566312364324,102.68091362498
"male","clinica","no","no","positiva","positiva",54.2057418869815,57.8444042148897,55.7379922400111,101.45652051247
"female","clinica","sì","sì","positiva","positiva",33.8596054338088,32.7898830826113,56.0233384616502,101.212485388812
"female","clinica","sì","sì","negativa","positiva",42.7178088880871,47.0115001016746,57.4237127249141,103.152493469253
"female","clinica","no","no","negativa","positiva",34.5955759470999,34.5686880391328,56.3130373579418,101.708837404018
"female","clinica","sì","no","negativa","positiva",43.069053859894,48.8498323962707,55.2456567813117,100.951725868701
"female","clinica","sì","sì","negativa","positiva",51.1884943300456,57.356662400495,56.4550815047645,102.475343590353
"male","clinica","no","no","positiva","positiva",36.3529054201309,43.1308434782728,56.4399948805478,101.866255559155
"male","clinica","no","sì","negativa","positiva",55.8998267936731,52.7905354980521,56.3550847540167,102.233151261785
"female","clinica","sì","sì","positiva","positiva",52.8934402881734,58.9969967430266,57.2182663613182,102.10978295455
"female","clinica","no","sì","negativa","positiva",40.9578497437936,47.5101001465018,56.3770804968912,101.47736963166
"male","lavoro","no","no","positiva","positiva",52.2632494238106,50.1577071862882,56.8653527112698,102.967767977432
"female","clinica","sì","sì","positiva","positiva",57.4808116249384,67.2576398235905,56.2777093153539,101.869482798773
"male","clinica","sì","no","negativa","positiva",60.6109525326174,69.5318069280891,57.3592715790022,101.864490083814
"male","sperimentale","no","no","positiva","positiva",47.8715172135347,64.369614019307,57.9510740246194,102.764058382382
"female","lavoro","no","sì","positiva","positiva",49.0636320608895,54.8471469977682,57.0460579982226,102.379266449438
"male","lavoro","no","sì","negativa","negativa",49.1328586501808,54.3665262877708,56.0657265752691,101.875915346696
"male","clinica","no","sì","negativa","positiva",64.4146175605505,69.8975467309626,57.7195004973294,103.096937371324
"male","clinica","sì","sì","positiva","positiva",61.2507189227799,66.5995500772814,57.4057747635648,103.107920338298
"female","clinica","sì","no","positiva","positiva",58.3440156775704,54.1016518008821,56.8970706657075,102.748951359917
"female","clinica","no","sì","positiva","positiva",47.1265920015931,43.7709567083819,56.4360272423197,102.606346131718
"male","clinica","sì","no","negativa","positiva",53.7324143416641,58.344719507708,55.9524666874461,101.400518583247
"male","clinica","sì","no","negativa","negativa",54.032903312207,56.1275664093745,57.9148230155356,103.314576451476
"female","clinica","sì","sì","negativa","negativa",39.5832670571068,44.8569496823939,56.3839746655264,101.022903533484
"female","lavoro","no","sì","positiva","negativa",32.7169548467926,27.1609129804899,58.6867377083079,104.154158809897
"female","clinica","sì","no","negativa","positiva",56.4183002765162,53.9248090038824,58.198673167544,103.36593449817
"male","clinica","sì","sì","negativa","positiva",34.7068946881958,34.1994774935021,56.5650624199689,101.552472543496
"female","clinica","no","no","negativa","positiva",50.0168368848421,59.9471279901433,55.6167964624647,100.95934040113
"male","clinica","sì","no","negativa","negativa",52.5024782134833,52.0100281780327,55.6576326883819,101.534529524997
"female","clinica","no","sì","positiva","positiva",55.6386739030588,56.6411041351762,57.2729709255401,101.804787160091
"female","clinica","sì","no","positiva","positiva",51.8942623751481,57.2936314685184,56.4320966014614,101.664011946252
"male","sperimentale","sì","no","positiva","positiva",42.6714619370288,46.0577301279032,56.2121760351761,101.687338265241
"female","clinica","no","no","negativa","negativa",59.8636585989546,65.5957444922944,55.8492037863779,100.872749668551
"male","lavoro","no","sì","negativa","positiva",67.3863376690625,83.9116475792909,56.458448983811,102.030775370379
"male","sperimentale","no","no","positiva","positiva",58.8117880892544,58.1887697329632,55.7199707774359,101.326968282635
"male","clinica","sì","sì","negativa","negativa",30.5634909867602,34.0361427872112,54.9586779551802,100.366904186714
"male","clinica","sì","no","negativa","negativa",63.9957618540294,66.4119646053108,56.7577921778107,101.078009431547
"female","clinica","no","no","positiva","positiva",49.4394405381373,62.0014176722996,56.8977311225591,103.470722616755
"male","sperimentale","sì","sì","negativa","positiva",55.2491427931929,56.4017181787415,56.0621270062927,101.393314838312
"male","clinica","sì","no","negativa","negativa",56.2203323587106,60.809897839832,57.023958626254,102.738181566183
"male","clinica","no","no","positiva","positiva",49.0331392679329,57.9688073395465,54.9388664973316,100.48429904522
"female","sperimentale","sì","sì","negativa","positiva",49.2473680235127,48.9544153437707,56.2937205429813,102.174968795642
"male","lavoro","sì","sì","positiva","positiva",60.191570693309,73.4674497720191,56.9004208582465,102.689089730259
"female","clinica","no","sì","negativa","positiva",57.1160192248624,65.4948313022337,56.9174387168322,102.24661680952
"female","clinica","sì","sì","negativa","positiva",59.9026224604423,59.5315894127905,56.5954390774907,102.187561297707
"male","sperimentale","sì","sì","negativa","negativa",73.8292669523033,81.102155997592,56.1639164203438,101.164117188864
"female","clinica","sì","sì","negativa","positiva",56.6441586369409,60.5776229207755,55.5571963870418,101.363424458917
"female","clinica","sì","no","negativa","positiva",52.0738115738531,58.6399554338247,55.6818935850308,100.89871142294
"male","clinica","sì","sì","negativa","positiva",27.8936688942438,32.4437929091655,56.1512603170974,102.655074669258
"male","clinica","sì","sì","negativa","positiva",76.9171400324612,87.2697202163529,56.0227012842501,100.707330222368
"female","clinica","no","sì","positiva","positiva",45.1732317820369,43.4177298535202,56.2026139986852,101.418113046597
"male","clinica","sì","no","negativa","positiva",73.7473471509539,76.1342636649744,56.1428312077896,101.934952754972
"male","clinica","no","no","positiva","positiva",53.7464356800499,57.5004822912729,58.2601048201802,103.911243481756
"female","sperimentale","no","no","positiva","positiva",65.3843019889679,65.4053083647113,56.0733693547575,101.232745871149
"male","clinica","no","no","negativa","negativa",48.9028967882376,48.7031215694066,57.0293129498781,102.006539501335
"female","clinica","sì","sì","positiva","positiva",55.1147075469813,60.0248063440979,56.6206806359766,102.108292586447
"male","clinica","sì","no","positiva","positiva",52.1395797964226,56.4787041321389,55.642696903532,101.059298884952
"male","clinica","no","no","positiva","positiva",48.138793006265,40.3920791325129,56.9078160783749,101.530178420407
"female","clinica","no","sì","negativa","positiva",48.7960617537751,58.9989290323719,57.9772477091816,103.415699867248
"female","lavoro","no","sì","positiva","positiva",60.1283433584425,66.3769720383685,56.9745344722894,102.482608506848
"male","clinica","sì","no","positiva","positiva",47.985418530285,65.0664553960266,56.5781184198738,102.079258891202
"female","lavoro","no","sì","negativa","positiva",29.623175055592,38.0491662458475,56.4011095577486,101.352292043917
"female","clinica","no","no","positiva","positiva",48.0411075117017,50.8063109668918,54.4692750704912,100.105208796923
"female","clinica","no","no","positiva","positiva",55.3979060553627,74.3848617901532,57.3714330104738,103.410948769177
"female","lavoro","sì","sì","negativa","positiva",56.1645571635144,75.3256872830919,55.0513261494541,100.678361722823
"female","lavoro","sì","sì","negativa","positiva",56.1656781747743,55.0721190933234,57.5521364717649,102.467286320025
"female","sperimentale","sì","sì","negativa","positiva",33.0789847913092,40.4241445710863,58.5351768245377,103.763350698778
"male","clinica","sì","no","negativa","positiva",53.6874205801119,57.6311859869512,55.0922754572504,100.670058152471
"male","clinica","no","sì","negativa","negativa",59.6785920994706,65.6138478322407,57.405698109643,102.539330957513
"female","clinica","sì","sì","positiva","positiva",62.7657868146766,68.9035004575206,56.8039054358519,101.261977111657
"female","clinica","no","sì","positiva","positiva",47.7503872895588,46.4408849752136,54.8469384746626,100.665387914316
"female","clinica","no","no","negativa","negativa",46.781074138172,53.2090220393848,55.2861609692214,100.338207755245
"female","lavoro","sì","no","positiva","positiva",64.8783783187804,78.6246151344894,55.144267152398,100.310763652577
"female","clinica","sì","sì","positiva","positiva",33.3207195422068,37.5002695215328,55.7232534807904,101.818818730523
"female","clinica","sì","sì","negativa","positiva",45.6317002308688,49.8170666773765,55.3253605106656,100.402152824363
"female","clinica","sì","no","negativa","positiva",54.5746207935745,66.5674808252619,57.0583865586914,102.859609652712
"male","clinica","sì","no","negativa","positiva",33.8222623461877,43.3142435496025,58.905829804906,103.765035732989
"female","lavoro","no","sì","positiva","positiva",52.7962786243176,49.5538045324111,55.4018355037716,100.66627977204
"male","lavoro","no","sì","positiva","negativa",68.7786402105219,74.9214250768329,57.3612400291654,102.751345228481
"female","clinica","sì","sì","negativa","positiva",49.9593934656366,63.2271296390253,57.5878876081474,102.488251253849
"male","clinica","no","no","positiva","positiva",47.2154597503641,59.2918414999599,57.0427245975731,102.181856994891
"female","clinica","no","sì","negativa","negativa",54.7491171403405,61.8488751594117,55.6006047738885,101.010706890408
"female","clinica","sì","sì","positiva","positiva",47.2092782921269,55.8153823276914,56.3105993719848,102.033544178754
"female","clinica","sì","sì","negativa","positiva",58.1340037407906,57.1493276798472,56.672777409293,101.357631006173
"male","clinica","no","sì","positiva","positiva",59.0443546444969,65.5450124789038,57.2039412941828,102.470526894428
"female","clinica","sì","no","positiva","positiva",50.0269166123012,50.2546719363621,56.0448535311966,101.806129225343
"male","clinica","sì","sì","positiva","positiva",38.2330784225027,40.942988082018,57.6497168077938,102.831754477177
"male","clinica","no","no","negativa","positiva",36.8177927254091,46.4958111443071,56.1610792715198,101.685727760144
"male","clinica","sì","sì","negativa","positiva",44.0700263434468,43.3855607849911,57.4929901105245,103.136121870256
"female","clinica","no","sì","negativa","positiva",57.9738050054984,64.3083962598636,55.494498567264,101.037278478576
"female","clinica","sì","no","positiva","positiva",30.4179482534307,37.5596084507885,55.2026792897641,100.917825456493
"female","clinica","sì","sì","negativa","positiva",31.1367484126745,36.4113082618727,59.7634130105523,105.131536480182
"female","clinica","sì","no","negativa","positiva",43.462201752399,57.573145861576,56.2631979111167,101.501196601204
"female","clinica","sì","no","positiva","positiva",53.9439484798058,53.8322118369296,57.4587019223042,101.69965022713
"male","lavoro","no","sì","negativa","negativa",40.8643395183501,48.8949908255281,57.2182331623121,102.599669126373
"female","clinica","sì","no","negativa","positiva",58.8674903709606,63.4228375337073,56.0092539391428,101.624683556395
"female","clinica","sì","sì","negativa","positiva",53.3336997015518,57.0295384823822,56.9610555336259,102.623493625382
"male","clinica","sì","no","negativa","negativa",48.2936038176139,55.6140599868758,57.0607856997875,102.235458122898
"female","clinica","no","no","positiva","positiva",58.1882813653178,58.0862784118981,55.9691636502673,102.187981995855
"female","clinica","no","sì","negativa","positiva",53.8836516281937,52.3163970456016,56.5765928786167,102.127686224263
"male","lavoro","no","no","negativa","positiva",45.5406497278784,48.0682453504613,56.5155498126721,101.995040433007
"female","lavoro","sì","no","positiva","negativa",52.3111493441816,66.0699350929588,58.3670703417075,104.359045793694
"female","clinica","no","no","positiva","positiva",56.4751335797759,61.7539574528385,56.0150884328605,101.116781021884
"female","clinica","no","sì","positiva","positiva",53.5628334486205,60.2200054397599,55.6094533047087,100.831056200616
"male","clinica","sì","sì","negativa","negativa",43.4198979205052,47.4706647321175,56.0777444526076,102.572918247356
"male","clinica","sì","no","negativa","positiva",58.5520220506419,65.904485710411,56.8771301882637,102.3051077632
"male","lavoro","sì","no","negativa","positiva",61.5293622555862,61.7709645405004,56.6371930028405,102.790747461178
"female","clinica","no","no","positiva","positiva",52.7627455654334,63.5522978982766,56.4519001500342,101.231580872316
"female","lavoro","no","sì","positiva","positiva",51.4410466246219,59.3645729258286,55.5831982859899,100.92099703305
"female","clinica","no","sì","negativa","positiva",49.2437491922016,50.2114850787431,57.7235820046865,103.31581877036
"female","lavoro","sì","sì","positiva","positiva",71.6141584630279,76.8869246920878,56.1691118482036,101.726293615898
"female","clinica","no","sì","negativa","negativa",52.7631553213579,61.3448134188535,55.9582690650788,100.931535308803
"male","clinica","sì","sì","positiva","positiva",48.4170597130006,56.2057146232736,56.3423962075344,101.774009668091
"female","clinica","no","sì","negativa","positiva",24.9208219780275,37.3304920574119,56.6257348417704,101.566898128731
"female","clinica","sì","sì","negativa","positiva",34.3471823496947,36.2822435752204,57.4994507208886,103.241181788601
"male","clinica","sì","no","positiva","positiva",49.2232679938944,59.8039510713463,56.4170281608108,102.325154780161
"male","sperimentale","sì","no","positiva","positiva",52.062940448431,62.2456804981371,57.8094826396518,102.237438343067
"female","sperimentale","sì","no","negativa","positiva",52.7687245886161,56.9563089291019,55.8140404298515,101.789659797167
"male","clinica","sì","no","positiva","positiva",58.2150678044862,58.3354343403768,57.0635209677619,101.931509447273
"female","clinica","no","sì","negativa","positiva",48.0584759067954,47.6127499523729,56.1588453683472,101.785224819357
"female","sperimentale","no","sì","negativa","positiva",62.1458879448256,69.4348227345505,56.5216294529049,102.239747335493
"female","clinica","sì","no","negativa","negativa",40.7848395713042,45.4292059026997,55.7490040218514,101.082611024227
"female","sperimentale","no","no","negativa","positiva",37.9155727955693,51.8110861298266,55.4436401177517,100.578136836702
"male","clinica","no","sì","negativa","positiva",37.7101382244619,45.3858280269429,58.4866754571184,103.983609716545
"female","clinica","no","no","negativa","negativa",57.4229702418652,60.5632458660477,57.0643752409804,102.683621381004
"male","clinica","sì","no","negativa","positiva",49.1708005766077,49.0430893341222,55.1598985707523,100.977924051882
"female","clinica","sì","no","negativa","negativa",57.898179218205,59.9861708451787,56.4402251997254,100.945392649082
"female","clinica","no","no","negativa","positiva",47.3229357844292,54.0373777489158,55.7874420184867,100.478631413521
"male","clinica","no","sì","negativa","negativa",44.0810789778719,46.8264057425886,58.4002870892688,104.462982914388
"female","sperimentale","sì","no","negativa","negativa",46.3164742487349,53.8876248498884,57.6221481616355,103.513215262611
"female","clinica","sì","no","positiva","positiva",31.4738317575827,34.8021414967338,56.2212345470179,101.838902134045
"male","clinica","sì","sì","negativa","negativa",38.3038473958589,42.7760478518865,56.946520873927,102.6893588319
"female","clinica","sì","no","negativa","positiva",35.5796535364155,36.9271051723764,55.9680643764646,101.80123792019
"female","lavoro","no","sì","positiva","negativa",60.5432227197535,75.068440644297,56.7078119210029,100.940811520058
"female","clinica","no","sì","positiva","positiva",44.026699086372,50.689807743724,55.5600990746748,101.479630538169
"female","clinica","no","no","negativa","positiva",57.8945985279018,64.047766730399,56.105884850331,101.311992254604
"male","clinica","sì","no","negativa","negativa",65.1649060169196,61.7055939424992,58.1345376145346,103.660673047649
"female","clinica","sì","no","negativa","positiva",48.0822519089006,56.3812114066472,56.5903387371774,101.881340606909
"female","clinica","no","sì","negativa","positiva",52.8387890635235,52.720671119125,56.4982481373693,102.311203170738
"female","clinica","sì","sì","negativa","negativa",32.4893248060392,33.0317169342677,56.8924374833821,102.159596317657
"male","clinica","sì","sì","positiva","positiva",41.813302224802,51.4050080799102,57.6623274744371,103.317209858965
"male","clinica","sì","sì","negativa","positiva",50.5621484938284,53.2986452612872,56.1613625629965,101.409643380096
"male","clinica","no","no","positiva","positiva",52.9908690333615,49.2490076333456,55.8539778892822,100.788269043488
"female","lavoro","sì","no","negativa","negativa",42.4060188270112,56.255539376458,57.939700311848,103.903833913919
"female","clinica","sì","no","negativa","positiva",76.848589992268,69.9615553653054,55.9813365551543,101.735677564207
"female","clinica","no","no","negativa","negativa",45.4160986090761,53.280156258374,55.4866852604429,101.680799227106
"male","lavoro","sì","sì","positiva","positiva",50.6424355663004,60.7286818117234,55.3574607022933,100.809598877848
"male","sperimentale","no","no","negativa","negativa",56.4979186715352,58.3430793382325,55.0732552937433,100.999372267757
"male","clinica","sì","no","positiva","positiva",49.73981365226,56.9612489093178,55.5758422738026,101.882276982674
"female","sperimentale","no","sì","negativa","positiva",43.5643261297289,50.7599780716716,57.2422789300561,102.539396752425
"female","lavoro","sì","sì","positiva","positiva",60.453056639633,70.6561724042056,57.9545665672099,102.785925294509
"female","clinica","no","sì","negativa","negativa",66.155453232072,73.5759501718346,57.3201920029212,102.636151179098
"female","clinica","no","sì","negativa","negativa",49.7030602895016,53.478641394039,56.2704113364772,101.597689635063
"female","clinica","sì","sì","positiva","positiva",55.6226734540307,65.2026337437317,56.6013197921811,102.092153827075
"male","clinica","no","sì","positiva","positiva",49.0258750149737,58.0289867975225,55.5073608333886,101.696127349993
"female","clinica","sì","sì","negativa","positiva",60.1645521770216,60.4817070063427,55.9508697481817,101.228014216469
"male","clinica","sì","sì","negativa","negativa",38.4383260574015,36.4343888874228,57.355843820321,102.945657024686
"female","sperimentale","no","no","negativa","positiva",73.2086022399448,79.0099899399106,55.638034053369,100.959211095174
"female","clinica","sì","no","negativa","positiva",43.9646875221166,47.5948756482407,58.4782114479804,103.910357733975
"male","clinica","no","sì","positiva","positiva",35.4115058556191,35.4838102928076,56.4187414696806,101.982192777676
"male","clinica","sì","sì","positiva","positiva",46.4908217280693,51.9104751256445,56.4891082962031,102.506104417118
"female","clinica","no","sì","positiva","positiva",51.46708484145,49.8671022090155,55.8300441693923,101.307299848295
"male","clinica","no","no","positiva","positiva",66.2362120768023,72.0423438334333,55.8577583171018,101.599551545172
"female","clinica","sì","no","positiva","positiva",59.1120967677132,60.9874548300036,55.1191726127024,100.890489858118
"male","clinica","sì","sì","negativa","positiva",51.4245843204579,61.2104056914203,56.1941564130406,102.026255907672
"female","lavoro","no","sì","negativa","negativa",36.1051647601184,53.2276104659261,57.1138116088435,102.27993500703
"female","clinica","sì","no","negativa","negativa",41.3396225532789,41.7597263348449,56.5293106250365,102.679874473393
"male","lavoro","no","no","negativa","positiva",48.3671506777071,58.6554715324219,55.9004365242214,101.153067942216
"female","clinica","no","sì","negativa","positiva",75.5302611346059,84.6560097734473,55.8319999913049,101.207692324448
"male","clinica","sì","no","negativa","positiva",31.3977242578159,36.0467531362891,55.7735616018603,101.824472421452
"male","clinica","sì","no","negativa","positiva",61.3105465184602,64.0423146481751,57.7458131582572,103.747545525908
"female","clinica","no","sì","negativa","positiva",44.7276574276608,57.6041959618482,55.7122226912351,100.647763958013
"male","clinica","sì","no","negativa","negativa",66.6599089998742,61.632619908693,56.5977062527536,101.630257482635
"female","lavoro","no","sì","positiva","positiva",38.607993600266,40.3920196422976,58.7348682029845,103.550517234975
"female","clinica","sì","sì","positiva","positiva",51.4362323466275,49.2520151283386,56.4379191363447,101.942244124292
"female","sperimentale","sì","no","negativa","positiva",39.0044905829725,50.9810577777029,55.214731242097,100.711450770429
"female","sperimentale","no","sì","positiva","positiva",59.0351642636167,63.0816471003925,55.847643932409,101.43348142202
"female","lavoro","no","sì","negativa","negativa",64.8377948873809,67.2144388900325,56.926701188268,102.596634076031
